Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
A Quiet Passion,6.4,2016,PG-13,Terence Davies,"Emma Bell,Sara Vertongen,Rose Williams",78,125,"https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Burning Blue,6.2,2013,R,D.M.W. Greer,"Trent Ford,Tammy Blanchard,Morgan Spector",29,96,"https://m.media-amazon.com/images/M/MV5BMTYyODQxNjQzOF5BMl5BanBnXkFtZTgwNzU2NzE2MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The Man Who Invented Christmas,7,2017,PG,Bharat Nalluri,"Dan Stevens,Mark Schrier,Patrick Joseph,Byrnes",60,104,"https://m.media-amazon.com/images/M/MV5BZDRjZWZlNjAtYjM1ZS00ZjAyLWE4MmEtNWVmNzZiNTYzOThjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Music Within,7.2,2007,R,Steven Sawalich,"Ron Livingston,Melissa George,Michael Sheen",53,94,"https://m.media-amazon.com/images/M/MV5BMTgwMDgwNzU5Nl5BMl5BanBnXkFtZTcwOTUwMDU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
McQueen,7.7,2018,R,Ian Bonhôte,"Alexander Mc,Queen Joyce,Mc Queen,John Hitchcock",84,111,"https://m.media-amazon.com/images/M/MV5BMTg0MTg3MTM0OF5BMl5BanBnXkFtZTgwOTU0OTU2NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Desert Flower,7.3,2009,R,Sherry Hormann,"Waris Dirie,Sherry Hormann,Cathleen Miller",54,120,"https://m.media-amazon.com/images/M/MV5BMTcwODMwMzA0MV5BMl5BanBnXkFtZTcwMTc3ODc1NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Impromptu,6.8,1991,PG-13,James Lapine,"Judy Davis,Hugh Grant,Mandy Patinkin",66,107,"https://m.media-amazon.com/images/M/MV5BZmM0ZTAyNmUtZjgxNi00NTEwLWE1MjEtMDBjYzY3MTUyNDdmXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
Percy Vs Goliath,6.4,2020,PG-13,Clark Johnson,"Garfield Lindsay,Miller Hilary,Pryor Maureen,Dorey",56,99,"https://m.media-amazon.com/images/M/MV5BYTA4MDMwYzItMTNkYS00NjhhLTkwODUtNTE1ZDc0ZTUzMzdiXkEyXkFqcGdeQXVyNDAyMTY3OTM@._V1_QL75_UY281_CR3,0,190,281_.jpg",Biography
Casino Jack,6.2,2010,R,George Hickenlooper,"Kevin Spacey,Barry Pepper,Jon Lovitz",51,108,"https://m.media-amazon.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Born to Be Blue,6.8,2015,R,Robert Budreau,"Ethan Hawke,Carmen Ejogo,Callum Keith,Rennie",64,97,"https://m.media-amazon.com/images/M/MV5BMjI3NTk0OTM5OF5BMl5BanBnXkFtZTgwOTMxMTE5NzE@._V1_QL75_UY281_CR3,0,190,281_.jpg",Biography
Tom Horn,6.8,1980,R,William Wiard,"Steve Mc,Queen Linda,Evans Richard,Farnsworth",66,98,"https://m.media-amazon.com/images/M/MV5BMTk5NzkwNDUwOV5BMl5BanBnXkFtZTgwMjM2NjQzMTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Freeheld,6.6,2015,PG-13,Peter Sollett,"Julianne Moore,Elliot Page,Steve Carell",50,103,"https://m.media-amazon.com/images/M/MV5BMzM5NTg3NjU1MV5BMl5BanBnXkFtZTgwNzAwMjA3NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Same Kind of Different as Me,6.6,2017,PG-13,Michael Carney,"Ron Hall,Denver Moore,Lynn Vincent",47,119,"https://m.media-amazon.com/images/M/MV5BY2JhZjU1YWQtM2RmYi00ZjY3LWFhYzktNTk0ZGZkNjBkYzI2XkEyXkFqcGdeQXVyNjAwOTYzMjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
One Chance,6.8,2013,PG-13,David Frankel,"James Corden,Alexandra Roach,Julie Walters",52,103,"https://m.media-amazon.com/images/M/MV5BMTA5MzQxMzEzOTVeQTJeQWpwZ15BbWU4MDY2NzM5NzIx._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Yves Saint Laurent,6.2,2014,R,Jalil Lespert,"Marie-Pierre Huster,Jalil Lespert,Jacques Fieschi",51,106,"https://m.media-amazon.com/images/M/MV5BMjE3NDE1NDAyOF5BMl5BanBnXkFtZTgwMDg0NDQ0MTE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
The White Crow,6.6,2018,R,Ralph Fiennes,"Oleg Ivenko,Ralph Fiennes,Louis Hofmann",61,127,"https://m.media-amazon.com/images/M/MV5BNGIwMjFmMGQtZjYxNC00NmJjLTlkM2QtMWMyZTA3YjZhNzBlXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Bound for Glory,7.2,1976,PG,Hal Ashby,"David Carradine,Ronny Cox,Melinda Dillon",70,147,"https://m.media-amazon.com/images/M/MV5BOWRlMmU0OGUtZjhjMS00YWQ2LWEzNzYtMWYxOWMwNjhkMGVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
