Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
Once Upon a Time in the West,8.5,1968,PG-13,Sergio Leone,"Sergio Donati,Sergio Leone,Dario Argento",82,166,"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Drama
American History X,8.5,1998,R,Tony Kaye,"Edward Norton,Edward Furlong,Beverly,D'Angelo",62,119,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Crime
Psycho,8.5,1960,R,Alfred Hitchcock,"Anthony Perkins,Janet Leigh,Vera Miles",97,109,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Horror
The Usual Suspects,8.5,1995,R,Bryan Singer,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",76,106,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg",Crime
Django Unchained,8.5,2012,R,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo Di,Caprio",81,165,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Comedy
The Prestige,8.5,2006,PG-13,Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson",66,130,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Back to the Future,8.5,1985,PG,Robert Zemeckis,"Michael,J.,Fox Christopher,Lloyd Lea,Thompson",87,116,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,7,190,281_.jpg",Adventure
Whiplash,8.5,2014,R,Damien Chazelle,"Miles Teller,J.K.,Simmons Melissa,Benoist",89,106,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Parasite,8.5,2019,R,Bong Joon Ho,"Bong Joon,Ho Han,Jin-won",97,132,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Harakiri,8.6,1962,Not Rated,Masaki Kobayashi,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",85,133,"https://m.media-amazon.com/images/M/MV5BMWNmYzg5NWYtNzhiMS00NzlkLTgyOTUtYzM3MjY0NDc2YjFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR3,0,190,281_.jpg",Action
It's a Wonderful Life,8.6,1946,PG,Frank Capra,James Stewart,89,130,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY281_CR2,0,190,281_.jpg",Drama
Seven Samurai,8.6,1954,Not Rated,Akira Kurosawa,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",98,207,"https://m.media-amazon.com/images/M/MV5BNTkwY2I5NWMtMjNlNi00ZThjLWI4NzQtNDI4M2I4OGM1YjAzXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",Action
Life Is Beautiful,8.6,1997,PG-13,Roberto Benigni,"Vincenzo Cerami,Roberto Benigni",58,116,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",Comedy
Terminator 2: Judgment Day,8.6,1991,R,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",75,137,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
City of God,8.6,2002,R,Fernando Meirelles,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",79,130,"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR1,0,190,281_.jpg",Crime
Star Wars: Episode IV - A New Hope,8.6,1977,PG,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher",90,121,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX190_CR0,5,190,281_.jpg",Action
Saving Private Ryan,8.6,1998,R,Steven Spielberg,"Tom Hanks,Matt Damon,Tom Sizemore",91,169,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY281_CR1,0,190,281_.jpg",Drama
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,PG,Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher",82,124,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg",Action
One Flew Over the Cuckoo's Nest,8.7,1975,R,Milos Forman,"Lawrence Hauben,Bo Goldman,Ken Kesey",84,133,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
"The Good, the Bad and the Ugly",8.8,1966,R,Sergio Leone,"Luciano Vincenzoni,Sergio Leone,Agenore Incrocci",90,178,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Adventure
The Lord of the Rings: The Two Towers,8.8,2002,PG-13,Peter Jackson,"J.R.R. TolkienFran Walsh,Philippa Boyens",87,179,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg",Action
Fight Club,8.8,1999,R,David Fincher,"Brad Pitt,Edward Norton,Meat Loaf",67,139,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
Forrest Gump,8.8,1994,PG-13,Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",82,142,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg",Drama
12th Fail,8.9,2023,R,Vidhu Vinod Chopra,"Vidhu Vinod,Chopra Jaskunwar,Kohli Anurag,Pathak",66,116.3,"https://m.media-amazon.com/images/M/MV5BZDI4OTM1ZjMtOWQxMC00OTY5LTg3NjQtMjlhMWVjODFlYTY4XkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY281_CR12,0,190,281_.jpg",Biography
The Godfather Part II,9,1974,R,Francis Ford Coppola,"Francis Ford,Coppola Mario,Puzo",90,202,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg",Crime
The Lord of the Rings: The Return of the King,9,2003,PG-13,Peter Jackson,"J.R.R. TolkienFran Walsh,Philippa Boyens",94,201,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
Schindler's List,9,1993,R,Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley",95,195,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
The Shawshank Redemption,9.3,1994,R,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton",82,142,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
The Biggest Little Farm,8,2018,PG,John Chester,John Chester,73,91,"https://m.media-amazon.com/images/M/MV5BMjQ1MjM0OTE2Ml5BMl5BanBnXkFtZTgwMzgwMDY4NzM@._V1_QL75_UX190_CR0,6,190,281_.jpg","Documentary, Family, Family"
Pokémon the Movie 2000,6.1,1999,G,Kunihiko Yuyama,Veronica Taylor,28,99,"https://m.media-amazon.com/images/M/MV5BNzE1NjBiODAtNDVhNS00ZTI1LTg4ZjUtZTk3OWVhODljMjNjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UX190_CR0,0,190,281_.jpg","Animation, Action, Adventure"
When Hitler Stole Pink Rabbit,7,2019,PG,Caroline Link,Riva Krymalowski,54,100,"https://m.media-amazon.com/images/M/MV5BMmNiOWM5NTItNTJiYi00MTAzLThjYzUtOGVmNGJhNjVlYTFjXkEyXkFqcGdeQXVyOTM5NzYzNTU@._V1_QL75_UY281_CR0,0,190,281_.jpg","Biography, Drama, Family"
Return from Witch Mountain,5.7,1978,G,John Hough,Bette Davis,51,95,"https://m.media-amazon.com/images/M/MV5BY2ZkMzUzYTQtYzZhZS00ZWZkLWI2MWItNGY3OWNhYjNhOTdlXkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_QL75_UX190_CR0,4,190,281_.jpg","Adventure, Family, Fantasy"
Summer Magic,6.9,1963,G,James Neilson,Hayley Mills,57.1,110,"https://m.media-amazon.com/images/M/MV5BZTgxNWZlMTctNzNmZi00ZDY3LTljMmUtNWY5YTg4NzJkN2EyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Family, Musical"
Tall Tale,5.9,1995,PG,Jeremiah S. Chechik,Patrick Swayze,57.1,96,"https://m.media-amazon.com/images/M/MV5BNDlkMzVjYzQtYTFiNi00NTg1LWI4OTUtY2VlNTc1OTUyM2QzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,1,190,281_.jpg","Adventure, Family, Fantasy"
The Powerpuff Girls Movie,6.5,2002,PG,Craig McCracken,Cathy Cavadini,65,73,"https://m.media-amazon.com/images/M/MV5BNDE2ZWIyZmItYjNlZC00NmQ4LWIyMjQtMDJiM2JmYWMyOWQzXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UX190_CR0,0,190,281_.jpg","Animation, Action, Adventure"
Camp Hideout,4.4,2023,PG,Sean Olson,Corbin Bleu,57.1,100,"https://m.media-amazon.com/images/M/MV5BODc0ODBjZWYtMTE3Yy00MmI1LWJlMDMtZDhjNWU5Y2YzMjUwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY281_CR2,0,190,281_.jpg","Comedy, Family, Family"
St Trinian's 2: The Legend of Fritton's Gold,5.3,2009,Not Rated,Oliver Parker,Rupert Everett,57.1,106,"https://m.media-amazon.com/images/M/MV5BZmFhOTRiODctMjVjOS00ZGIyLWFmM2YtYzhkNDM5NGFkYzcyXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg","Adventure, Comedy, Family"
The Wild Thornberrys,5.6,2002,PG,Cathy Malkasian,Tim Curry,69,85,"https://m.media-amazon.com/images/M/MV5BNzgwMDMzYzMtYzg0Ni00NTBlLTk2YmItNDVlNzI5ZDZkODI2XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_QL75_UX190_CR0,0,190,281_.jpg","Animation, Adventure, Comedy"
The Care Bears Movie,5.6,1985,G,Arna Selznick,Georgia Engel,46,77,"https://m.media-amazon.com/images/M/MV5BMmUwNTgzMzAtMmQ5Yi00ZmE2LTkxNjMtNGFjZTA4NjI2MmQyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,9,190,281_.jpg","Animation, Adventure, Comedy"
DuckTales the Movie: Treasure of the Lost Lamp,6.8,1990,G,Bob Hathcock,Alan Young,57.1,74,"https://m.media-amazon.com/images/M/MV5BMGY1NjdiMmItMmE5MS00NjllLWJmM2ItMmU1ZTRjMWYyZjc4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_QL75_UX190_CR0,9,190,281_.jpg","Animation, Adventure, Comedy"
Noelle,6.3,2019,G,Marc Lawrence,Anna Kendrick,48,100,"https://m.media-amazon.com/images/M/MV5BMjM2MTIxYTAtYWM3MC00OWI4LWJmMjMtYzBhMWFlMzU0NTdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Family, Fantasy"
The Dirt Bike Kid,5.3,1985,PG,Hoite C. Caston,Peter Billingsley,57.1,90,"https://m.media-amazon.com/images/M/MV5BNmVjNWEzNjUtOThkMS00ZGYzLWI0OGUtZmE2OTZlMDY3MTQxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg","Comedy, Family, Fantasy"
A Family Affair,6.6,1937,Approved,George B. Seitz,Lionel Barrymore,57.1,69,"https://m.media-amazon.com/images/M/MV5BMzBiODc0YWUtY2E4Yi00MzYzLTgyNzctMzkzNDRhNDljNzRiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,6,190,281_.jpg","Comedy, Drama, Family"
Mune: Guardian of the Moon,7.1,2014,PG,Alexandre Heboyan,Omar Sy,57.1,85,"https://m.media-amazon.com/images/M/MV5BODVhZjEwZjgtMjdlZC00NzczLWJmNWMtMzNlMDI1YzU5ODMzXkEyXkFqcGdeQXVyMjY4MDM2OTU@._V1_QL75_UY281_CR9,0,190,281_.jpg","Animation, Adventure, Comedy"
Shin Jigen! Crayon Shin-chan the Movie,6.5,2023,PG,Hitoshi Ône,Yumiko Kobayashi,57.1,100,"https://m.media-amazon.com/images/M/MV5BMjA5Yjg1YTQtYzA5ZS00ZWNjLTkwNjYtOTE5MzQwZDM4YmIwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR5,0,190,281_.jpg","Animation, Action, Adventure"
Dr. Dolittle 2,4.7,2001,PG,Steve Carr,Eddie Murphy,49,87,"https://m.media-amazon.com/images/M/MV5BYTZhMWZkYjgtNjE5MS00OWY4LWFmMWQtMDc4M2RlMjg4Y2NhXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Family, Fantasy"
Return to Never Land,5.8,2002,G,Robin Budd,Blayne Weaver,49,72,"https://m.media-amazon.com/images/M/MV5BYWMwMWQ5NWQtYTA1YS00OTQ5LWExZmItNGI5MzIyMWRhNDA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Animation, Adventure, Family"
Doraemon Nobita no Takarajima,6.6,2018,PG,Kazuaki Imai,Wasabi Mizuta,57.1,100,"https://m.media-amazon.com/images/M/MV5BMDc0MjI0OGMtYTg1ZC00NDE1LTgzMzktNWIwY2RmYzJjNWE3XkEyXkFqcGdeQXVyMjUxNjcxMjU@._V1_QL75_UY281_CR4,0,190,281_.jpg","Animation, Adventure, Comedy"
Christmas on Cherry Lane,6.1,2023,TV-G,Gail Harvey,Catherine Bell,57.1,90,"https://m.media-amazon.com/images/M/MV5BZGIzZWEyOWMtZTNhYy00ZTM4LWFkNzItN2RlOTY4NzhkZTQ3XkEyXkFqcGdeQXVyMzkyODcyMzg@._V1_QL75_UX190_CR0,0,190,281_.jpg","Family, Adventure, Family"
Biggles: Adventures in Time,5.6,1986,PG,John Hough,Neil Dickson,57.1,108,"https://m.media-amazon.com/images/M/MV5BZWFkNTRlNzUtMDQ3ZC00MGJmLTkyYTEtNTEyZTE4N2RmODY3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR3,0,190,281_.jpg","Adventure, Family, Sci-Fi"
Early Man,6.1,2018,PG,Nick Park,Eddie Redmayne,68,89,"https://m.media-amazon.com/images/M/MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX190_CR0,4,190,281_.jpg","Animation, Adventure, Comedy"
The Confirmation,6.4,2016,PG-13,Bob Nelson,Clive Owen,65,101,"https://m.media-amazon.com/images/M/MV5BODkyODM0MTUtYjI3NS00MDIyLWE4ZTUtNGNhOTYwYTNlODZiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Comedy, Drama"
Tad: The Lost Explorer,5.9,2012,TV-PG,Enrique Gato,Óscar Barberán,57.1,92,"https://m.media-amazon.com/images/M/MV5BNDE2MDUyMzYtNzZmOC00NmIyLWFiMjctNjVmZmY0NjQwY2NlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR6,0,190,281_.jpg","Animation, Adventure, Comedy"
Alaska,5.7,1996,PG,Fraser C. Heston,Thora Birch,57.1,109,"https://m.media-amazon.com/images/M/MV5BN2Y5OGE3OGMtMWQwMi00ODMxLTllZDMtMTk4NGFiYjA0NmI4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Drama, Family"
The Three Caballeros,6.3,1944,G,Norman Ferguson,Aurora Miranda,85,71,"https://m.media-amazon.com/images/M/MV5BNTYzMmFmNjYtYzJmMy00ZGViLTlkNjItYjMwYzA3ZjRkZTBkXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_QL75_UX190_CR0,6,190,281_.jpg","Animation, Comedy, Family"
Tom Sawyer,6.4,1973,G,Don Taylor,Johnny Whitaker,57.1,103,"https://m.media-amazon.com/images/M/MV5BY2E1MWIyMTMtNzQ3MS00YWEyLWE3YWUtNmRlNDU0MDEyNGEzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,4,190,281_.jpg","Adventure, Musical, Family"
FairyTale: A True Story,6.5,1997,PG,Charles Sturridge,"Paul Mc,Gann",57.1,99,"https://m.media-amazon.com/images/M/MV5BN2Y5NWUwZDgtOWNjNi00NzZlLWIzNWYtM2U2ZjMyM2MzODBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UY281_CR1,0,190,281_.jpg","Drama, Family, Fantasy"
Pee-wee's Big Holiday,6.1,2016,TV-PG,John Lee,Paul Reubens,63,90,"https://m.media-amazon.com/images/M/MV5BMjIyODA1MzYyM15BMl5BanBnXkFtZTgwMjQxODYyODE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Family, Family"
Arthur and the Revenge of Maltazard,5.2,2009,PG,Luc Besson,Freddie Highmore,57.1,107,"https://m.media-amazon.com/images/M/MV5BN2IwMThmMWEtZmVmMC00ZGI4LTlmYWEtNzRiZmMyOTc0ZmQ4XkEyXkFqcGdeQXVyNjA5ODQxMDI@._V1_QL75_UY281_CR11,0,190,281_.jpg","Animation, Adventure, Family"
Jug Jugg Jeeyo,6.1,2022,PG,Raj Mehta,Varun Dhawan,57.1,100,"https://m.media-amazon.com/images/M/MV5BMTg5YjlkZmItZWZjOC00ZWQ5LTk2MjctYmI2ZGYzODY0N2ZmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR11,0,190,281_.jpg","Comedy, Drama, Family"
Shorts,4.7,2009,PG,Robert Rodriguez,Jimmy Bennett,53,89,"https://m.media-amazon.com/images/M/MV5BMTM0MDUyMzk1Ml5BMl5BanBnXkFtZTcwMjczMDU2Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Comedy, Family"
The Incredible Mr. Limpet,6.5,1964,G,Arthur Lubin,Don Knotts,57.1,99,"https://m.media-amazon.com/images/M/MV5BMWRkMGFkMWItMDlkNS00MjFkLTkwYzctNWI3MzY1MjE0ZWIwXkEyXkFqcGdeQXVyNzE2NDk3NTY@._V1_QL75_UX190_CR0,5,190,281_.jpg","Animation, Comedy, Family"
Getting Even with Dad,4.9,1994,PG,Howard Deutch,Macaulay Culkin,31,109,"https://m.media-amazon.com/images/M/MV5BM2QzZjAxNjUtYTRlNC00ZWZjLTg4NTctMzM0MmI4YmIyOWExXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,5,190,281_.jpg","Comedy, Crime, Family"
Batman,6.1,1943,Approved,Lambert Hillyer,Lewis Wilson,57.1,260,"https://m.media-amazon.com/images/M/MV5BYzQ0ZGViZTUtZmUzMi00YjkwLTg2ZWUtNjk0ZDg0NzE2OTQ3XkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg","Action, Crime, Family"
Lassie,5.8,1994,PG,Daniel Petrie,Helen Slater,57.1,94,"https://m.media-amazon.com/images/M/MV5BMGMyZjAzZGItY2ZkZi00Y2YwLTk4M2QtNTRmNWEzYjU1NDVlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_QL75_UY281_CR1,0,190,281_.jpg","Family, Adventure, Family"
Extinct,5.5,2021,TV-Y7,David Silverman,Adam Devine,57.1,84,"https://m.media-amazon.com/images/M/MV5BZjAzMDIxZDItNTRiMC00MWM4LTkwOTMtMTljZmQxNDdhMmE0XkEyXkFqcGdeQXVyMTI2ODM1ODUw._V1_QL75_UX190_CR0,0,190,281_.jpg","Animation, Adventure, Comedy"
The Peanut Butter Solution,6,1985,PG,Michael Rubbo,Mathew Mackay,57.1,93,"https://m.media-amazon.com/images/M/MV5BYmQ2NTNjNDMtMDE5Zi00NWFmLTkxZGQtYWM2ZTI4ZTk0NjNlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,9,190,281_.jpg","Adventure, Comedy, Family"
The Muppet Christmas Carol,7.8,1992,G,Brian Henson,Michael Caine,64,85,"https://m.media-amazon.com/images/M/MV5BN2Y0NWRkNWItZWEwNi00MDNlLWJmZDYtNTkwYzI5Nzg4MjVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR0,0,190,281_.jpg","Comedy, Drama, Family"
Fireheart,6.2,2022,TV-PG,Theodore Ty,Alice Pol,57.1,92,"https://m.media-amazon.com/images/M/MV5BMGM5ZTFmYWQtMGRiOS00YzI1LTkyMzAtNGIzNWFjZmFlYTFhXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UX190_CR0,0,190,281_.jpg","Animation, Adventure, Comedy"
The Princess Switch,6.1,2018,TV-PG,Mike Rohl,Vanessa Hudgens,57.1,101,"https://m.media-amazon.com/images/M/MV5BMTYyMjYxMjEzOF5BMl5BanBnXkFtZTgwMjAwNDE3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Drama, Family"
Racing Stripes,5.2,2005,PG,Frederik Du Chau,Frankie Muniz,43,102,"https://m.media-amazon.com/images/M/MV5BMjE0NDA2MTQwM15BMl5BanBnXkFtZTcwMzYxNDcyMQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Adventure, Comedy, Drama"
The Young and Prodigious T.S. Spivet,7,2013,PG,Jean-Pierre Jeunet,"Helena Bonham,Carter",53,105,"https://m.media-amazon.com/images/M/MV5BMTk3MDU1MTc5Ml5BMl5BanBnXkFtZTgwNzk2NDY2NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Comedy, Drama"
Bigfoot Family,5.8,2020,TV-Y7,Jérémie Degruson,Jules Medcraft,57.1,89,"https://m.media-amazon.com/images/M/MV5BMjNkYjUzODItNGM3ZS00Y2JjLWI2OTUtZjZmYjkzZTQzMTdmXkEyXkFqcGdeQXVyNjYxNzY5MjE@._V1_QL75_UY281_CR11,0,190,281_.jpg","Animation, Adventure, Family"
Heidi,7.4,2015,PG,Alain Gsponer,Anuk Steffen,57.1,100,"https://m.media-amazon.com/images/M/MV5BNjI4ODQ0NTk1MF5BMl5BanBnXkFtZTgwMTg4NDM1NzE@._V1_QL75_UY281_CR4,0,190,281_.jpg","Drama, Family, Family"
Think Like a Dog,5.2,2020,PG,Gil Junger,Megan Fox,57.1,91,"https://m.media-amazon.com/images/M/MV5BMGNhNzk4YzMtYmQ4Ni00ZjU0LWI0YzctYjM1ZDMxNzM3MDAzXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UY281_CR5,0,190,281_.jpg","Comedy, Drama, Family"
The Jungle Book 2,5.3,2003,G,Steve Trenbirth,John Goodman,38,72,"https://m.media-amazon.com/images/M/MV5BNDk2NTk1NzQxN15BMl5BanBnXkFtZTYwMDMyMTg5._V1_QL75_UX190_CR0,1,190,281_.jpg","Animation, Adventure, Comedy"
The Diary of Anne Frank,7.4,1959,Approved,George Stevens,Millie Perkins,59,180,"https://m.media-amazon.com/images/M/MV5BZWZkOThjMjQtNGRlOS00YWNlLWFhNDEtYjlmMmIxMDZmN2U2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg","Biography, Drama, Family"
Nine Lives,5.3,2016,PG,Barry Sonnenfeld,Kevin Spacey,11,87,"https://m.media-amazon.com/images/M/MV5BMzEzMjkwMjc3NV5BMl5BanBnXkFtZTgwMzc0NjY5ODE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Drama, Family"
